nombre,precio,unidades_vendidas,categoria,fecha_ultima_venta
Auriculares inalámbricos,59.90,320,Electrónica,2025-05-22
Zapatillas deportivas,79.99,215,Calzado,2025-05-25
Mochila escolar,34.50,410,Accesorios,2025-05-21
Smartwatch básico,99.95,168,Tecnología,2025-05-20
Botella térmica 500ml,19.99,540,Hogar,2025-05-26
Teclado inalámbrico,45.00,195,Informática,2025-05-24
Camiseta estampada,14.99,650,Ropa,2025-05-23
Lámpara de escritorio LED,29.95,312,Iluminación,2025-05-22
Altavoz portátil,49.90,270,Audio,2025-05-25
Cargador USB múltiple,24.95,385,Accesorios electrónicos,2025-05-26
